edgeID,startNode,endNode
GHALL00302_GHALL00402,GHALL00302,GHALL00402
WHALL001L2_WHALL002L2,WHALL001L2,WHALL002L2
BHALL03502_BHALL00402,BHALL03502,BHALL00402
BHALL03702_BHALL03602,BHALL03702,BHALL03602
CSERV001L1_CCONF002L1,CSERV001L1,CCONF002L1
GDEPT00403_GELEV00Q03,GDEPT00403,GELEV00Q03
EHALL01901_EDEPT00201,EHALL01901,EDEPT00201
IHALL01703_IHALL01803,IHALL01703,IHALL01803
CHALL009L1_CRETL001L1,CHALL009L1,CRETL001L1
GHALL00603_GHALL00803,GHALL00603,GHALL00803
HHALL00303_HHALL00103,HHALL00303,HHALL00103
bHALL00302_HRETL00202,bHALL00302,HRETL00202
CHALL009L2_CHALL010L2,CHALL009L2,CHALL010L2
HHALL00902_WHALL00702,HHALL00902,WHALL00702
BSTAI00802_BREST00402,BSTAI00802,BREST00402
GELEV00Q02_GELEV00Q03,GELEV00Q02,GELEV00Q03
DHALL02902_DHALL03002,DHALL02902,DHALL03002
BHALL01902_BHALL02002,BHALL01902,BHALL02002
BHALL01202_WELEV00G02,BHALL01202,WELEV00G02
AHALL00203_AHALL00103,AHALL00203,AHALL00103
CREST003L1_CHALL015L1,CREST003L1,CHALL015L1
WHALL00302_WHALL00402,WHALL00302,WHALL00402
DHALL05002_DHALL05102,DHALL05002,DHALL05102
HHALL00203_HLABS00103,HHALL00203,HLABS00103
GHALL01303_GDEPT01403,GHALL01303,GDEPT01403
GLABS014L2_GLABS015L2,GLABS014L2,GLABS015L2
DHALL03302_DHALL03902,DHALL03302,DHALL03902
BHALL01002_BHALL01602,BHALL01002,BHALL01602
bPARK00301_bPARK00401,bPARK00301,bPARK00401
AHALL00201_bCONF00101,AHALL00201,bCONF00101
CHALL012L1_CHALL013L1,CHALL012L1,CHALL013L1
BHALL00102_BHALL00202,BHALL00102,BHALL00202
DHALL00102_DHALL00202,DHALL00102,DHALL00202
GHALL02401_GHALL02101,GHALL02401,GHALL02101
BHALL03502_BHALL00302,BHALL03502,BHALL00302
CREST002L2_CSERV001L2,CREST002L2,CSERV001L2
GREST00602_GHALL00502,GREST00602,GHALL00502
GHALL00603_GHALL00703,GHALL00603,GHALL00703
BDEPT00702_BHALL01702,BDEPT00702,BHALL01702
HHALL01303_HHALL01403,HHALL01303,HHALL01403
IHALL00603_IHALL00703,IHALL00603,IHALL00703
HHALL00303_HHALL00203,HHALL00303,HHALL00203
GHALL01003_GHALL01103,GHALL01003,GHALL01103
IHALL01403_IREST00503,IHALL01403,IREST00503
IHALL01703_IHALL01603,IHALL01703,IHALL01603
BREST00202_BHALL00802,BREST00202,BHALL00802
GELEV00QL2_GELEV00Q03,GELEV00QL2,GELEV00Q03
GELEV00QL2_GELEV00Q02,GELEV00QL2,GELEV00Q02
GREST004L2_GHALL005L2,GREST004L2,GHALL005L2
GHALL00701_GHALL00801,GHALL00701,GHALL00801
BHALL01802_BDEPT00502,BHALL01802,BDEPT00502
BHALL02502_BHALL02602,BHALL02502,BHALL02602
GHALL00402_GHALL00202,GHALL00402,GHALL00202
GHALL001L2_GLABS003L2,GHALL001L2,GLABS003L2
DHALL05002_DHALL05202,DHALL05002,DHALL05202
HHALL00803_HSERV00103,HHALL00803,HSERV00103
DHALL05202_DREST00402,DHALL05202,DREST00402
GHALL01602_GHALL01402,GHALL01602,GHALL01402
ALABS00203_AHALL00303,ALABS00203,AHALL00303
AREST00103_AHALL00603,AREST00103,AHALL00603
DHALL01302_DHALL01402,DHALL01302,DHALL01402
CHALL015L1_CHALL011L1,CHALL015L1,CHALL011L1
DHALL01202_DHALL01502,DHALL01202,DHALL01502
bPARK01101_bPARK01801,bPARK01101,bPARK01801
WELEV00LL1_WELEV00L02,WELEV00LL1,WELEV00L02
BHALL00402_BLABS00102,BHALL00402,BLABS00102
WELEV00LL1_WELEV00L03,WELEV00LL1,WELEV00L03
WELEV00H01_ESTAI00401,WELEV00H01,ESTAI00401
FHALL03101_EHALL01901,FHALL03101,EHALL01901
DHALL03902_DDEPT00302,DHALL03902,DDEPT00302
CREST002L1_CHALL006L1,CREST002L1,CHALL006L1
DHALL03002_DELEV00B02,DHALL03002,DELEV00B02
IHALL01803_IHALL01903,IHALL01803,IHALL01903
CCONF002L1_WELEV00HL1,CCONF002L1,WELEV00HL1
EHALL03601_EHALL03301,EHALL03601,EHALL03301
BREST00502_BHALL02902,BREST00502,BHALL02902
WELEV00H02_WELEV00H03,WELEV00H02,WELEV00H03
BHALL00502_BDEPT00402,BHALL00502,BDEPT00402
bWALK00901_FHALL02601,bWALK00901,FHALL02601
DHALL01902_DHALL02002,DHALL01902,DHALL02002
HHALL00403_HHALL00303,HHALL00403,HHALL00303
GHALL01701_bCONF00101,GHALL01701,bCONF00101
GHALL00303_GDEPT00403,GHALL00303,GDEPT00403
bHALL001L2_CREST001L2,bHALL001L2,CREST001L2
CHALL003L2_CHALL002L2,CHALL003L2,CHALL002L2
BHALL04402_BHALL02802,BHALL04402,BHALL02802
DHALL04702_DHALL04902,DHALL04702,DHALL04902
bPARK01701_bPARK02401,bPARK01701,bPARK02401
GHALL013L2_GLABS014L2,GHALL013L2,GLABS014L2
GHALL03202_GSTAI02802,GHALL03202,GSTAI02802
DHALL03602_DHALL03702,DHALL03602,DHALL03702
EHALL01901_EHALL02001,EHALL01901,EHALL02001
BHALL01302_BDEPT00802,BHALL01302,BDEPT00802
DHALL03402_DHALL03502,DHALL03402,DHALL03502
GHALL01402_GHALL01302,GHALL01402,GHALL01302
DHALL00902_DSTAI00102,DHALL00902,DSTAI00102
CHALL001L2_WELEV00JL2,CHALL001L2,WELEV00JL2
DHALL02802_DSTAI00402,DHALL02802,DSTAI00402
GHALL01602_GHALL01502,GHALL01602,GHALL01502
bWALK01301_bPARK02401,bWALK01301,bPARK02401
GHALL01702_GINFO01902,GHALL01702,GINFO01902
IHALL01003_IDEPT00503,IHALL01003,IDEPT00503
AINFO001L2_AHALL002L2,AINFO001L2,AHALL002L2
GHALL02302_GHALL02702,GHALL02302,GHALL02702
HHALL00702_HHALL00802,HHALL00702,HHALL00802
bWALK00801_bWALK01001,bWALK00801,bWALK01001
bCONF00201_bCONF00101,bCONF00201,bCONF00101
DHALL00202_DHALL00302,DHALL00202,DHALL00302
DHALL02602_DHALL02502,DHALL02602,DHALL02502
AHALL00301_AHALL00201,AHALL00301,AHALL00201
GSTAI02602_GELEV00N02,GSTAI02602,GELEV00N02
EHALL01301_EHALL02501,EHALL01301,EHALL02501
CHALL005L2_CHALL006L2,CHALL005L2,CHALL006L2
DSTAI00202_DHALL01902,DSTAI00202,DHALL01902
GHALL01002_GREST00602,GHALL01002,GREST00602
AHALL00601_AHALL00301,AHALL00601,AHALL00301
HHALL01403_HHALL01503,HHALL01403,HHALL01503
GLABS015L2_GHALL016L2,GLABS015L2,GHALL016L2
bWALK00201_bWALK00301,bWALK00201,bWALK00301
IHALL00503_IHALL00603,IHALL00503,IHALL00603
CHALL005L1_WELEV00ML1,CHALL005L1,WELEV00ML1
HHALL01003_HREST00103,HHALL01003,HREST00103
bCONF00401_bPARK01801,bCONF00401,bPARK01801
HHALL00703_HDEPT00103,HHALL00703,HDEPT00103
BHALL00102_BSTAI01002,BHALL00102,BSTAI01002
DHALL02902_DHALL03102,DHALL02902,DHALL03102
IHALL00203_IDEPT00103,IHALL00203,IDEPT00103
bPARK01001_bPARK00901,bPARK01001,bPARK00901
GHALL03002_bHALL00202,GHALL03002,bHALL00202
DHALL04702_DHALL04802,DHALL04702,DHALL04802
GHALL00701_GHALL01701,GHALL00701,GHALL01701
AHALL00303_AHALL00203,AHALL00303,AHALL00203
BHALL01902_BDEPT00502,BHALL01902,BDEPT00502
WHALL00902_WHALL01002,WHALL00902,WHALL01002
WELEV00J03_IHALL02203,WELEV00J03,IHALL02203
CDEPT002L1_CDEPT003L1,CDEPT002L1,CDEPT003L1
BHALL04302_BHALL02902,BHALL04302,BHALL02902
GHALL03702_GHALL03802,GHALL03702,GHALL03802
